2014-12-30 10:57:35 upgrade base-files:i386 7.2ubuntu5 7.2ubuntu5
2014-12-30 10:57:35 status half-configured base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 status half-installed base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 status half-installed base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:35 upgrade base-passwd:i386 3.5.33 3.5.33
2014-12-30 10:57:35 status half-configured base-passwd:i386 3.5.33
2014-12-30 10:57:35 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:35 status half-installed base-passwd:i386 3.5.33
2014-12-30 10:57:35 status half-installed base-passwd:i386 3.5.33
2014-12-30 10:57:35 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:35 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:35 install bash:i386 <none> 4.3-6ubuntu1
2014-12-30 10:57:35 status half-installed bash:i386 4.3-6ubuntu1
2014-12-30 10:57:35 status unpacked bash:i386 4.3-6ubuntu1
2014-12-30 10:57:35 status unpacked bash:i386 4.3-6ubuntu1
2014-12-30 10:57:35 install bsdutils:i386 <none> 1:2.20.1-5.1ubuntu20
2014-12-30 10:57:35 status half-installed bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-30 10:57:35 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-30 10:57:35 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-30 10:57:35 install busybox-initramfs:i386 <none> 1:1.21.0-1ubuntu1
2014-12-30 10:57:35 status half-installed busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-30 10:57:35 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-30 10:57:35 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-30 10:57:35 install coreutils:i386 <none> 8.21-1ubuntu5
2014-12-30 10:57:35 status half-installed coreutils:i386 8.21-1ubuntu5
2014-12-30 10:57:35 status unpacked coreutils:i386 8.21-1ubuntu5
2014-12-30 10:57:35 status unpacked coreutils:i386 8.21-1ubuntu5
2014-12-30 10:57:35 install cpio:i386 <none> 2.11+dfsg-1ubuntu1
2014-12-30 10:57:35 status half-installed cpio:i386 2.11+dfsg-1ubuntu1
2014-12-30 10:57:35 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2014-12-30 10:57:35 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2014-12-30 10:57:35 install dash:i386 <none> 0.5.7-4ubuntu1
2014-12-30 10:57:35 status half-installed dash:i386 0.5.7-4ubuntu1
2014-12-30 10:57:35 status unpacked dash:i386 0.5.7-4ubuntu1
2014-12-30 10:57:35 status unpacked dash:i386 0.5.7-4ubuntu1
2014-12-30 10:57:35 upgrade debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2014-12-30 10:57:35 status half-configured debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status half-installed debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status half-installed debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 install debianutils:i386 <none> 4.4
2014-12-30 10:57:35 status half-installed debianutils:i386 4.4
2014-12-30 10:57:35 status unpacked debianutils:i386 4.4
2014-12-30 10:57:35 status unpacked debianutils:i386 4.4
2014-12-30 10:57:35 install diffutils:i386 <none> 1:3.3-1
2014-12-30 10:57:35 status half-installed diffutils:i386 1:3.3-1
2014-12-30 10:57:35 status unpacked diffutils:i386 1:3.3-1
2014-12-30 10:57:35 status unpacked diffutils:i386 1:3.3-1
2014-12-30 10:57:35 upgrade dpkg:i386 1.17.5ubuntu5 1.17.5ubuntu5
2014-12-30 10:57:35 status half-configured dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 status unpacked dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 status half-installed dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 status half-installed dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 status unpacked dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 status unpacked dpkg:i386 1.17.5ubuntu5
2014-12-30 10:57:35 install e2fslibs:i386 <none> 1.42.9-3ubuntu1
2014-12-30 10:57:35 status half-installed e2fslibs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 install e2fsprogs:i386 <none> 1.42.9-3ubuntu1
2014-12-30 10:57:36 status half-installed e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 install findutils:i386 <none> 4.4.2-7
2014-12-30 10:57:36 status half-installed findutils:i386 4.4.2-7
2014-12-30 10:57:36 status unpacked findutils:i386 4.4.2-7
2014-12-30 10:57:36 status unpacked findutils:i386 4.4.2-7
2014-12-30 10:57:36 install gcc-4.9-base:i386 <none> 4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status half-installed gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-30 10:57:36 install grep:i386 <none> 2.16-1
2014-12-30 10:57:36 status half-installed grep:i386 2.16-1
2014-12-30 10:57:36 status unpacked grep:i386 2.16-1
